0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:41:57 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:41:58 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:41:58 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:37 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 2746
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:37 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:42 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:42 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:43 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:43 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:43 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:43 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:43 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:43 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:43 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:43 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:43 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:43 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:43 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:43 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:44 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:44 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:44 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:44 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:44 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:43:44 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
